"","plot","mortality"
"1","MS1_sbs_0001_5257",13
"2","MS1_sbs_0002_5454",2
"3","MS1_sbs_0007_5454",4
"4","MS1_sbs_0008_5257",7
"5","MS1_sbs_0010_5455",5
"6","MS1_sbs_0014_5454",5
"7","MS1_sbs_0017_5257",13
"8","MS1_sbs_0019_5257",20
"9","MS1_sbs_0023_5257",15
"10","MS1_sbs_0024_5454",8
"11","MS1_sbs_0025_5454",10
"12","MS1_sbs_0028_5454",6
"13","MS1_sbs_0030_5454",18
"14","MS1_sbs_0031_5257",4
"15","MS1_sbs_0032_5454",18
"16","MS1_sbs_0033_5454",9
"17","MS1_sbs_0034_5454",5
"18","MS1_sbs_0038_5454",11
"19","MS1_sbs_0043_5454",0
"20","MS1_sbs_0045_5454",6
"21","MS1_sbs_0046_5454",0
"22","MS1_sbs_0047_5454",19
"23","MS1_sbs_0049_5454",18
"24","MS1_sbs_0051_5454",0
"25","MS1_sbs_0058_5454",2
"26","MS1_sbs_0059_5454",7
"27","MS1_sbs_0061_5454",7
"28","MS1_sbs_0063_5454",9
"29","MS1_sbs_0064_5454",3
"30","MS1_sbs_0065_5454",3
"31","MS1_sbs_0066_5257",8
"32","MS1_sbs_0069_5454",15
"33","MS1_sbs_0070_5454",4
"34","MS1_sbs_0071_5454",2
"35","MS1_sbs_0074_5454",0
"36","MS1_sbs_0075_5454",14
"37","MS1_sbs_0078_5454",10
"38","MS1_sbs_0079_5257",15
"39","MS1_sbs_0081_5454",0
"40","MS1_sbs_0085_5454",3
"41","MS1_sbs_0087_5454",0
"42","MS1_sbs_0090_5454",8
"43","MS1_sbs_0091_5454",4
"44","MS1_sbs_0092_5454",3
"45","MS1_sbs_0094_5454",0
"46","MS1_sbs_0095_5454",1
"47","MS1_sbs_0096_5454",2
"48","MS1_sbs_0097_5454",4
"49","MS1_sbs_0099_5257",15
"50","MS1_sbs_0101_5454",0
"51","MS1_sbs_0105_5454",5
"52","MS1_sbs_0107_5454",0
"53","MS1_sbs_0108_5454",11
"54","MS1_sbs_0112_5454",20
"55","MS1_sbs_0113_5257",17
"56","MS1_sbs_0118_5257",14
"57","MS1_sbs_0120_5454",5
"58","MS1_sbs_0121_5454",10
"59","MS1_sbs_0122_5454",2
"60","MS1_sbs_0123_5257",15
"61","MS1_sbs_0124_5454",1
"62","MS1_sbs_0125_5454",8
"63","MS1_sbs_0126_5455",8
"64","MS1_sbs_0128_5454",17
"65","MS1_sbs_0130_5257",19
"66","MS1_sbs_0132_5454",0
"67","MS1_sbs_0133_5454",19
"68","MS1_sbs_0134_5454",15
"69","MS1_sbs_0136_5455",4
"70","MS1_sbs_0137_5454",2
"71","MS1_sbs_0138_5454",18
"72","MS1_sbs_0144_5454",5
"73","MS1_sbs_0146_5455",17
"74","MS1_sbs_0147_5454",17
"75","MS1_sbs_0148_5454",4
"76","MS1_sbs_0149_5454",14
"77","MS1_sbs_0151_5454",7
"78","MS1_sbs_0152_5454",19
"79","MS1_sbs_0154_5454",19
"80","MS1_sbs_0155_5454",7
"81","MS1_sbs_0156_5454",14
"82","MS1_sbs_0157_5454",13
"83","MS1_sbs_0158_5454",14
"84","MS1_sbs_0160_5454",18
"85","MS1_sbs_0166_5455",13
"86","MS1_sbs_0168_5454",0
"87","MS1_sbs_0169_5454",15
"88","MS1_sbs_0170_5454",12
"89","MS1_sbs_0171_5454",4
"90","MS1_sbs_0172_5454",6
"91","MS1_sbs_0176_5454",4
"92","MS1_sbs_0177_5454",15
"93","MS1_sbs_0179_5454",5
"94","MS1_sbs_0180_5454",3
"95","MS1_sbs_0186_5454",13
"96","MS1_sbs_0196_5455",0
"97","MS1_sbs_0198_5454",6
"98","MS1_sbs_0199_5454",9
"99","MS1_sbs_0200_5454",3
"100","MS1_sbs_0204_5454",3
"101","MS1_sbs_0209_5454",7
"102","MS1_sbs_0211_5454",5
"103","MS1_sbs_0213_5454",12
"104","MS1_sbs_0214_5455",18
"105","MS1_sbs_0215_5454",8
"106","MS1_sbs_0216_5454",9
"107","MS1_sbs_0217_5454",9
"108","MS1_sbs_0218_5454",10
"109","MS1_sbs_0221_5455",19
"110","MS1_sbs_0223_5454",0
"111","MS1_sbs_0224_5454",2
"112","MS1_sbs_0228_5455",7
"113","MS1_sbs_0230_5454",17
"114","MS1_sbs_0231_5454",12
"115","MS1_sbs_0233_5454",3
"116","MS1_sbs_0234_5455",17
"117","MS1_sbs_0235_5454",10
"118","MS1_sbs_0238_5454",17
"119","MS1_sbs_0241_5454",0
"120","MS1_sbs_0243_5257",16
"121","MS1_sbs_0245_5455",20
"122","MS1_sbs_0246_5455",18
"123","MS1_sbs_0247_5455",20
"124","MS1_sbs_0248_5454",5
"125","MS1_sbs_0249_5455",20
"126","MS1_sbs_0250_5454",10
"127","MS1_sbs_0252_5455",20
"128","MS1_sbs_0253_5455",3
"129","MS1_sbs_0254_5454",7
"130","MS1_sbs_0255_5455",2
"131","MS1_sbs_0259_5454",15
"132","MS1_sbs_0261_5454",12
"133","MS1_sbs_0262_5454",1
"134","MS1_sbs_0263_5454",15
"135","MS1_sbs_0264_5454",13
"136","MS1_sbs_0267_5454",1
"137","MS1_sbs_0268_5455",20
"138","MS1_sbs_0272_5454",8
"139","MS1_sbs_0274_5455",0
"140","MS1_sbs_0276_5454",11
"141","MS1_sbs_0277_5454",13
"142","MS1_sbs_0281_5454",3
"143","MS1_sbs_0283_5455",19
"144","MS1_sbs_0284_5454",3
"145","MS1_sbs_0288_5455",17
"146","MS1_sbs_0290_5454",5
"147","MS1_sbs_0291_5454",7
"148","MS1_sbs_0295_5455",4
"149","MS1_sbs_0296_5454",16
"150","MS1_sbs_0298_5455",9
"151","MS1_sbs_0300_5455",0
"152","MS1_sbs_0303_5454",9
"153","MS1_sbs_0304_5454",15
"154","MS1_sbs_0305_5454",15
"155","MS1_sbs_0307_5454",12
"156","MS1_sbs_0308_5454",17
"157","MS1_sbs_0310_5454",11
"158","MS1_sbs_0311_5454",16
"159","MS1_sbs_0312_5455",20
"160","MS1_sbs_0317_5455",20
"161","MS1_sbs_0318_5454",4
"162","MS1_sbs_0322_5455",20
"163","MS1_sbs_0323_5455",17
"164","MS1_sbs_0324_5454",3
"165","MS1_sbs_0326_5257",18
"166","MS1_sbs_0328_5454",8
"167","MS1_sbs_0329_5257",19
"168","MS1_sbs_0330_5455",17
"169","MS1_sbs_0332_5454",19
"170","MS1_sbs_0334_5455",5
"171","MS1_sbs_0336_5454",12
"172","MS1_sbs_0337_5257",18
"173","MS1_sbs_0338_5454",18
"174","MS1_sbs_0342_5454",3
"175","MS1_sbs_0343_5257",7
"176","MS1_sbs_0344_5454",13
"177","MS1_sbs_0346_5455",4
"178","MS1_sbs_0348_5257",15
"179","MS1_sbs_0349_5454",16
"180","MS1_sbs_0350_5455",13
"181","MS1_sbs_0354_5455",20
"182","MS1_sbs_0358_5257",15
"183","MS1_sbs_0360_5454",9
"184","MS1_sbs_0362_5455",4
"185","MS1_sbs_0363_5454",15
"186","MS1_sbs_0366_5455",5
"187","MS1_sbs_0367_5454",19
"188","MS1_sbs_0369_5257",19
"189","MS1_sbs_0370_5257",16
"190","MS1_sbs_0371_5454",6
"191","MS1_sbs_0373_5454",1
"192","MS1_sbs_0374_5455",19
"193","MS1_sbs_0378_5455",5
"194","MS1_sbs_0379_5257",2
"195","MS1_sbs_0385_5257",12
"196","MS1_sbs_0386_5455",0
"197","MS1_sbs_0387_5454",16
"198","MS1_sbs_0388_5455",0
"199","MS1_sbs_0390_5257",15
"200","MS1_sbs_0394_5454",16
"201","MS1_sbs_0395_5454",20
"202","MS1_sbs_0398_5454",5
"203","MS1_sbs_0399_5454",1
"204","MS1_sbs_0400_5454",8
"205","MS1_sbs_0401_5455",20
"206","MS1_sbs_0403_5455",19
"207","MS1_sbs_0404_5257",20
"208","MS1_sbs_0408_5454",20
"209","MS1_sbs_0409_5454",17
"210","MS1_sbs_0410_5454",0
"211","MS1_sbs_0412_5455",0
"212","MS1_sbs_0414_5454",0
"213","MS1_sbs_0416_5455",18
"214","MS1_sbs_0417_5257",19
"215","MS1_sbs_0419_5454",7
"216","MS1_sbs_0420_5454",0
"217","MS1_sbs_0421_5455",4
"218","MS1_sbs_0423_5455",0
"219","MS1_sbs_0429_5455",0
"220","MS1_sbs_0430_5257",20
"221","MS1_sbs_0431_5455",0
"222","MS1_sbs_0433_5454",0
"223","MS1_sbs_0437_5454",1
"224","MS1_sbs_0438_5454",19
"225","MS1_sbs_0439_5454",5
"226","MS1_sbs_0441_5455",20
"227","MS1_sbs_0443_5455",20
"228","MS1_sbs_0444_5257",20
"229","MS1_sbs_0447_5455",2
"230","MS1_sbs_0449_5455",20
"231","MS1_sbs_0450_5257",20
"232","MS1_sbs_0451_5454",3
"233","MS1_sbs_0454_5455",8
"234","MS1_sbs_0455_5454",16
"235","MS1_sbs_0458_5454",0
"236","MS1_sbs_0459_5454",18
"237","MS1_sbs_0460_5257",19
"238","MS1_sbs_0461_5454",14
"239","MS1_sbs_0462_5454",6
"240","MS1_sbs_0463_5455",20
"241","MS1_sbs_0466_5454",0
"242","MS1_sbs_0467_5454",2
"243","MS1_sbs_0470_5455",20
"244","MS1_sbs_0471_5455",3
"245","MS1_sbs_0474_5454",17
"246","MS1_sbs_0475_5455",20
"247","MS1_sbs_0478_5455",5
"248","MS1_sbs_0480_5454",19
"249","MS1_sbs_0482_5454",20
"250","MS1_sbs_0487_5454",12
"251","MS1_sbs_0489_5454",15
"252","MS1_sbs_0491_5454",4
"253","MS1_sbs_0492_5454",11
"254","MS1_sbs_0493_5454",15
"255","MS1_sbs_0494_5454",8
"256","MS1_sbs_0496_5455",13
"257","MS1_sbs_0499_5257",20
"258","MS1_sbs_0500_5455",19
"259","MS1_sbs_0504_5454",10
"260","MS1_sbs_0505_5455",16
"261","MS1_sbs_0506_5257",15
"262","MS1_sbs_0508_5257",18
"263","MS1_sbs_0509_5454",0
"264","MS1_sbs_0515_5455",20
"265","MS1_sbs_0523_5454",18
"266","MS1_sbs_0524_5454",17
"267","MS1_sbs_0527_5257",17
"268","MS1_sbs_0528_5454",16
"269","MS1_sbs_0530_5454",19
"270","MS1_sbs_0531_5455",11
"271","MS1_sbs_0532_5454",17
"272","MS1_sbs_0534_5454",15
"273","MS1_sbs_0536_5454",7
"274","MS1_sbs_0537_5454",7
"275","MS1_sbs_0540_5454",2
"276","MS1_sbs_0542_5454",7
"277","MS1_sbs_0544_5454",5
"278","MS1_sbs_0545_5454",12
"279","MS1_sbs_0546_5455",0
"280","MS1_sbs_0548_5454",11
"281","MS1_sbs_0550_5454",13
"282","MS1_sbs_0553_5454",17
"283","MS1_sbs_0555_5454",16
"284","MS1_sbs_0557_5454",15
"285","MS1_sbs_0558_5454",6
"286","MS1_sbs_0562_5454",0
"287","MS1_sbs_0563_5454",0
"288","MS1_sbs_0569_5454",9
"289","MS1_sbs_0570_5454",3
"290","MS1_sbs_0573_5455",20
"291","MS1_sbs_0575_5454",14
"292","MS1_sbs_0576_5454",14
"293","MS1_sbs_0577_5454",17
"294","MS1_sbs_0580_5257",16
"295","MS1_sbs_0581_5454",16
"296","MS1_sbs_0582_5454",20
"297","MS1_sbs_0587_5454",8
"298","MS1_sbs_0589_5454",0
"299","MS1_sbs_0591_5454",20
"300","MS1_sbs_0592_5454",13
"301","MS1_sbs_0594_5455",20
"302","MS1_sbs_0598_5454",20
"303","MS1_sbs_0602_5455",5
"304","MS1_sbs_0603_5454",17
"305","MS1_sbs_0605_5455",18
"306","MS1_sbs_0606_5454",7
"307","MS1_sbs_0607_5455",20
"308","MS1_sbs_0608_5257",18
"309","MS1_sbs_0609_5454",17
"310","MS1_sbs_0610_5257",4
"311","MS1_sbs_0611_5454",7
"312","MS1_sbs_0621_5454",20
"313","MS1_sbs_0624_5455",12
"314","MS1_sbs_0625_5454",15
"315","MS1_sbs_0626_5455",3
"316","MS1_sbs_0628_5454",15
"317","MS1_sbs_0630_5455",15
"318","MS1_sbs_0632_5454",6
"319","MS1_sbs_0633_5455",9
"320","MS1_sbs_0638_5455",3
"321","MS1_sbs_0639_5257",10
"322","MS1_sbs_0641_5454",11
"323","MS1_sbs_0642_5454",13
"324","MS1_sbs_0643_5257",20
"325","MS1_sbs_0647_5454",11
"326","MS1_sbs_0650_5454",11
"327","MS1_sbs_0653_5257",15
"328","MS1_sbs_0655_5454",7
"329","MS1_sbs_0657_5454",12
"330","MS1_sbs_0658_5454",18
"331","MS1_sbs_0659_5454",19
"332","MS1_sbs_0660_5454",19
"333","MS1_sbs_0662_5454",3
"334","MS1_sbs_0663_5454",18
"335","MS1_sbs_0664_5257",19
"336","MS1_sbs_0666_5455",6
"337","MS1_sbs_0670_5454",13
"338","MS1_sbs_0672_5454",19
"339","MS1_sbs_0674_5454",20
"340","MS1_sbs_0675_5454",0
"341","MS1_sbs_0679_5454",1
"342","MS1_sbs_0681_5454",20
"343","MS1_sbs_0682_5454",10
"344","MS1_sbs_0683_5454",16
"345","MS1_sbs_0684_5257",19
"346","MS1_sbs_0691_5455",15
"347","MS1_sbs_0693_5455",16
"348","MS1_sbs_0694_5257",15
"349","MS1_sbs_0697_5454",19
"350","MS1_sbs_0699_5257",19
"351","MS1_sbs_0700_5455",11
"352","MS1_sbs_0701_5454",14
"353","MS1_sbs_0704_5454",3
"354","MS1_sbs_0705_5454",11
"355","MS1_sbs_0710_5454",19
"356","MS1_sbs_0711_5454",2
"357","MS1_sbs_0712_5454",13
"358","MS1_sbs_0713_5454",19
"359","MS1_sbs_0714_5454",8
"360","MS1_sbs_0717_5257",18
"361","MS1_sbs_0719_5454",5
"362","MS1_sbs_0721_5454",6
"363","MS1_sbs_0723_5257",18
"364","MS1_sbs_0725_5454",2
"365","MS1_sbs_0727_5257",20
"366","MS1_sbs_0734_5454",20
"367","MS1_sbs_0737_5454",13
"368","MS1_sbs_0738_5257",14
"369","MS1_sbs_0743_5455",20
"370","MS1_sbs_0745_5257",12
"371","MS1_sbs_0746_5454",9
"372","MS1_sbs_0747_5454",8
"373","MS1_sbs_0750_5454",6
"374","MS1_sbs_0752_5454",2
"375","MS1_sbs_0753_5454",19
"376","MS1_sbs_0759_5454",11
"377","MS1_sbs_0764_5454",9
"378","MS1_sbs_0765_5257",20
"379","MS1_sbs_0766_5454",13
"380","MS1_sbs_0768_5454",19
"381","MS1_sbs_0769_5454",3
"382","MS1_sbs_0772_5454",11
"383","MS1_sbs_0774_5454",2
"384","MS1_sbs_0776_5454",10
"385","MS1_sbs_0778_5454",7
"386","MS1_sbs_0780_5454",20
"387","MS1_sbs_0781_5257",12
"388","MS1_sbs_0782_5454",20
"389","MS1_sbs_0783_5257",14
"390","MS1_sbs_0785_5455",20
"391","MS1_sbs_0786_5455",4
"392","MS1_sbs_0789_5257",10
"393","MS1_sbs_0790_5454",10
"394","MS1_sbs_0791_5257",12
"395","MS1_sbs_0792_5455",2
"396","MS1_sbs_0794_5257",19
"397","MS1_sbs_0795_5454",6
"398","MS1_sbs_0796_5257",18
"399","MS1_sbs_0798_5454",20
"400","MS1_sbs_0799_5257",20
"401","MS1_sbs_0802_5454",17
"402","MS1_sbs_0803_5454",19
"403","MS1_sbs_0807_5455",2
"404","MS1_sbs_0808_5454",13
"405","MS1_sbs_0809_5257",16
"406","MS1_sbs_0811_5454",0
"407","MS1_sbs_0814_5454",19
"408","MS1_sbs_0816_5455",12
"409","MS1_sbs_0819_5454",12
"410","MS1_sbs_0820_5454",10
"411","MS1_sbs_0821_5455",8
"412","MS1_sbs_0822_5454",20
"413","MS1_sbs_0823_5455",3
"414","MS1_sbs_0824_5455",0
"415","MS1_sbs_0826_5454",0
"416","MS1_sbs_0827_5454",3
"417","MS1_sbs_0830_5455",0
"418","MS1_sbs_0831_5257",20
"419","MS1_sbs_0832_5454",20
"420","MS1_sbs_0833_5257",19
"421","MS1_sbs_0834_5454",20
"422","MS1_sbs_0835_5454",13
"423","MS1_sbs_0838_5454",12
"424","MS1_sbs_0840_5257",18
"425","MS1_sbs_0841_5257",20
"426","MS1_sbs_0847_5454",15
"427","MS1_sbs_0848_5454",8
"428","MS1_sbs_0852_5257",20
"429","MS1_sbs_0854_5454",2
"430","MS1_sbs_0856_5257",18
"431","MS1_sbs_0857_5257",19
"432","MS1_sbs_0858_5455",0
"433","MS1_sbs_0859_5454",20
"434","MS1_sbs_0862_5257",19
"435","MS1_sbs_0863_5257",20
"436","MS1_sbs_0867_5257",17
"437","MS1_sbs_0869_5257",19
"438","MS1_sbs_0870_5257",20
"439","MS1_sbs_0873_5454",1
"440","MS1_sbs_0876_5257",19
"441","MS1_sbs_0877_5454",3
"442","MS1_sbs_0879_5454",17
"443","MS1_sbs_0880_5257",13
"444","MS1_sbs_0885_5455",19
"445","MS1_sbs_0889_5257",20
"446","MS1_sbs_0892_5257",10
"447","MS1_sbs_0893_5454",20
"448","MS1_sbs_0896_5257",17
"449","MS1_sbs_0897_5257",12
